iter	Passed	Remaining
840	8175	1545
841	8181	1535
842	8186	1524
843	8191	1514
844	8201	1504
845	8206	1493
846	8212	1483
847	8217	1473
848	8245	1466
849	8252	1456
850	8262	1446
851	8267	1436
852	8273	1425
853	8287	1416
854	8293	1406
855	8300	1396
856	8309	1386
857	8315	1376
858	8321	1365
859	8327	1355
860	8355	1348
861	8362	1338
862	8371	1328
863	8382	1319
864	8398	1310
865	8425	1303
866	8435	1293
867	8458	1286
868	8466	1276
869	8489	1268
870	8497	1258
871	8503	1248
872	8508	1237
873	8518	1228
874	8524	1217
875	8530	1207
876	8535	1197
877	8549	1187
878	8555	1177
879	8561	1167
880	8566	1157
881	8574	1147
882	8581	1137
883	8590	1127
884	8598	1117
885	8613	1108
886	8629	1099
887	8636	1089
888	8644	1079
889	8655	1069
890	8665	1060
891	8671	1049
892	8681	1040
893	8688	1030
894	8698	1020
895	8705	1010
896	8717	1001
897	8724	990
898	8739	981
899	8745	971
900	8752	961
901	8766	952
902	8783	943
903	8800	934
904	8820	925
905	8827	915
906	8836	906
907	8850	896
908	8856	886
909	8862	876
910	8869	866
911	8874	856
912	8880	846
913	8890	836
914	8896	826
915	8902	816
916	8910	806
917	8932	797
918	8940	788
919	8953	778
920	8969	769
921	9002	761
922	9020	752
923	9069	745
924	9093	737
925	9102	727
926	9118	718
927	9126	708
928	9139	698
929	9145	688
930	9154	678
931	9169	669
932	9179	659
933	9206	650
934	9232	641
935	9237	631
936	9251	622
937	9260	612
938	9275	602
939	9282	592
940	9288	582
941	9306	572
942	9313	562
943	9319	552
944	9330	543
945	9339	533
946	9349	523
947	9356	513
948	9366	503
949	9386	494
950	9397	484
951	9410	474
952	9418	464
953	9427	454
954	9434	444
955	9447	434
956	9457	424
957	9464	414
958	9485	405
959	9495	395
960	9501	385
961	9510	375
962	9516	365
963	9522	355
964	9542	346
965	9548	336
966	9554	326
967	9567	316
968	9587	306
969	9597	296
970	9602	286
971	9614	276
972	9620	266
973	9631	257
974	9643	247
975	9648	237
976	9662	227
977	9672	217
978	9678	207
979	9689	197
980	9695	187
981	9709	177
982	9716	168
983	9722	158
984	9728	148
985	9756	138
986	9762	128
987	9785	118
988	9790	108
989	9803	99
990	9810	89
991	9825	79
992	9831	69
993	9838	59
994	9848	49
995	9854	39
996	9865	29
997	9871	19
998	9888	9
999	9900	0
